2022-05-19 20:05:803 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:05 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:207 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //select[@id='models']]
2022-05-19 20:05:318 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:435 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //select[@id='priceTo']]
2022-05-26 11:05:10 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 11:05:658 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (a920a98dcf7da153c7bd9a078e3b70a4)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-26 11:05:391 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 11:05:616 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (85370ab0651914ebfe46ebfc4ebfad48)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-26 12:05:327 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 12:05:628 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (0969f7eb35e0f070f50fbb4d1af94e9a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-26 12:05:931 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 12:05:925 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (f0837ef563ffef99eed7f95378d108de)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-26 12:05:995 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-26 12:05:529 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (9bdf335a32969b332687044979dd7924)] -> xpath: //a[contains(text(),'buy + sell')]]
